myIndex,roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA,UDI,ASE,sDABin,UDIBin,ASEBin,sDA_Category,UDI_Category,ASE_Category
0,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.7,0.8,0.0,0.0,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,100.0,46.752525,78.62,"(91.47, 100.0]","(40.288, 64.719]","(41.09, 100.0]",4,2,4
1,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.0,0.8,0.0,0.0,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,100.0,62.612795,49.66,"(91.47, 100.0]","(40.288, 64.719]","(41.09, 100.0]",4,2,4
2,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.0,0.8,0.6,0.0,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,100.0,49.333333,50.84,"(91.47, 100.0]","(40.288, 64.719]","(41.09, 100.0]",4,2,4
3,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.7,0.0,0.0,0.0,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,24.58,29.116162,13.3,"(16.03, 52.94]","(-0.001, 40.288]","(3.74, 16.56]",2,1,2
5,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.0,0.0,0.6,0.0,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,29.46,40.277778,0.0,"(16.03, 52.94]","(-0.001, 40.288]","(-0.001, 3.74]",2,1,1
6,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.7,0.0,0.0,0.8,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,100.0,58.979798,57.91,"(91.47, 100.0]","(40.288, 64.719]","(41.09, 100.0]",4,2,4
7,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.0,0.0,0.0,0.8,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,100.0,75.006734,29.46,"(91.47, 100.0]","(64.719, 78.711]","(16.56, 41.09]",4,3,3
8,0.0,4.0,5.666666666666667,27.333333333333332,-41.0,39.0,41.0,23.0,73.0,2.0,116.0,67.0,106.0,0.84,0.5,0.03,0.27,0.0,0.0,0.6,0.8,8.0,7.0,2.0,10.0,3.0,2.0,2.0,2.0,100.0,65.617845,12.96,"(91.47, 100.0]","(64.719, 78.711]","(3.74, 16.56]",4,3,2
9,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.8,0.4,0.0,0.0,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,73.11,84.489712,23.73,"(52.94, 91.47]","(78.711, 87.267]","(16.56, 41.09]",3,4,3
10,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.0,0.4,0.0,0.0,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,0.55,11.42524,0.0,"(-0.001, 16.03]","(-0.001, 40.288]","(-0.001, 3.74]",1,1,1
11,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.0,0.4,0.5,0.0,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,55.83,85.932785,0.27,"(52.94, 91.47]","(78.711, 87.267]","(-0.001, 3.74]",3,4,1
12,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.8,0.0,0.0,0.0,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,61.73,84.030178,20.03,"(52.94, 91.47]","(78.711, 87.267]","(16.56, 41.09]",3,4,3
14,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.0,0.0,0.5,0.0,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,46.5,77.632373,0.0,"(16.03, 52.94]","(64.719, 78.711]","(-0.001, 3.74]",2,3,1
15,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.8,0.0,0.0,0.1,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,75.17,84.544582,26.2,"(52.94, 91.47]","(78.711, 87.267]","(16.56, 41.09]",3,4,3
16,1.0,4.0,13.666666666666666,13.666666666666666,-36.0,27.0,69.0,69.0,3.0,7.0,16.0,128.0,144.0,1.5,2.78,2.23,1.47,0.0,0.0,0.0,0.1,7.0,6.0,6.0,10.0,1.0,3.0,2.0,0.0,0.55,11.161866,0.0,"(-0.001, 16.03]","(-0.001, 40.288]","(-0.001, 3.74]",1,1,1
