myIndex,roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA,UDI,ASE,sDABin,UDIBin,ASEBin,sDA_Category,UDI_Category,ASE_Category
0,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.2,0.3,0.0,0.0,0,4,6,8,5,1,0,2,40.8,79.145797,5.82,"(38.67, 80.77]","(73.968, 86.117]","(0.858, 12.32]",3,4,2
1,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.0,0.3,0.0,0.0,0,4,6,8,5,1,0,2,22.73,39.574263,4.76,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
2,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.0,0.3,0.7,0.0,0,4,6,8,5,1,0,2,100.0,47.28458,57.77,"(80.77, 100.0]","(29.653, 53.629]","(38.71, 100.0]",4,2,4
3,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.2,0.0,0.0,0.0,0,4,6,8,5,1,0,2,0.0,47.65726,0.0,"(-0.001, 12.3]","(29.653, 53.629]","(-0.001, 0.858]",1,2,1
5,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.0,0.0,0.7,0.0,0,4,6,8,5,1,0,2,100.0,63.463152,42.63,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
6,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.2,0.0,0.0,0.7,0,4,6,8,5,1,0,2,37.76,79.813492,1.81,"(12.3, 38.67]","(73.968, 86.117]","(0.858, 12.32]",2,4,2
7,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.0,0.0,0.0,0.7,0,4,6,8,5,1,0,2,12.7,32.03458,1.93,"(12.3, 38.67]","(29.653, 53.629]","(0.858, 12.32]",2,2,2
8,0,8.0,31.666666666666668,14.0,-22.0,69,12,11,71,161,125,472,142,1.96,1.4,1.93,2.11,0.0,0.0,0.7,0.7,0,4,6,8,5,1,0,2,100.0,46.438776,67.46,"(80.77, 100.0]","(29.653, 53.629]","(38.71, 100.0]",4,2,4
9,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.6,0.1,0.0,0.0,5,2,7,7,5,3,2,0,63.92,90.810967,0.0,"(38.67, 80.77]","(86.117, 98.107]","(-0.001, 0.858]",3,5,1
10,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.0,0.1,0.0,0.0,5,2,7,7,5,3,2,0,17.07,69.478388,2.12,"(12.3, 38.67]","(53.629, 73.968]","(0.858, 12.32]",2,3,2
11,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.0,0.1,0.4,0.0,5,2,7,7,5,3,2,0,77.99,77.735931,33.48,"(38.67, 80.77]","(73.968, 86.117]","(12.32, 38.71]",3,4,3
12,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.6,0.0,0.0,0.0,5,2,7,7,5,3,2,0,36.15,57.924964,0.0,"(12.3, 38.67]","(53.629, 73.968]","(-0.001, 0.858]",2,3,1
14,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.0,0.0,0.4,0.0,5,2,7,7,5,3,2,0,40.69,47.813853,22.73,"(38.67, 80.77]","(29.653, 53.629]","(12.32, 38.71]",3,2,3
15,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.6,0.0,0.0,0.3,5,2,7,7,5,3,2,0,98.34,89.766955,8.44,"(80.77, 100.0]","(86.117, 98.107]","(0.858, 12.32]",4,5,2
16,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.0,0.0,0.0,0.3,5,2,7,7,5,3,2,0,91.28,90.388278,19.71,"(80.77, 100.0]","(86.117, 98.107]","(12.32, 38.71]",4,5,3
17,1,8.0,10.666666666666666,33.0,3.0,69,89,86,68,137,412,403,218,1.16,1.67,0.19,1.42,0.0,0.0,0.4,0.3,5,2,7,7,5,3,2,0,100.0,70.683983,57.58,"(80.77, 100.0]","(53.629, 73.968]","(38.71, 100.0]",4,3,4
