roomNumber,FloorHeight,Width,Length,Rotation,SouthContextOffset,EastContextOffset,NorthContextOffset,WestContextOffset,SouthContextHeight,EastContextHeight,NorthContextHeight,WestContextHeight,SouthShadingDepth,EastShadingDepth,NorthShadingDepth,WestShadingDepth,NorthGlazingRatio,WestGlazingRatio,SouthGlazingRatio,EastGlazingRatio,NorthWindowHeight,WestWindowHeight,SouthWindowHeight,EastWindowHeight,NorthWindowSill,WestWindowSill,SouthWindowSill,EastWindowSill,sDA1,sDA2,sDA3,sDA4,sDA5,sDA6,sDA7,sDA8,sDA9,UDI1,UDI2,UDI3,UDI4,UDI5,UDI6,UDI7,UDI8,UDI9,ASE1,ASE2,ASE3,ASE4,ASE5,ASE6,ASE7,ASE8,ASE9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,17,82,-41,39,41,23,73,2,116,67,106,0.84,0.5,0.03,0.27,0.7,0.8,0.6,0.8,8,7,2,10,3,2,2,2,100,100,100,24.58,0,29.46,100,100,100,46.752525,62.612795,49.333333,29.116162,0,40.277778,58.979798,75.006734,65.617845,78.62,49.66,50.84,13.3,0,0,57.91,29.46,12.96
1,4,41,41,-36,27,69,69,3,7,16,128,144,1.5,2.78,2.23,1.47,0.8,0.4,0.5,0.1,7,6,6,10,1,3,2,0,73.11,0.55,55.83,61.73,0,46.5,75.17,0.55,57.75,84.489712,11.42524,85.932785,84.030178,0,77.632373,84.544582,11.161866,86.801097,23.73,0,0.27,20.03,0,0,26.2,0,0.41
2,8,17,41,42,60,44,9,6,26,12,80,83,2.88,0.27,2.36,2.43,0.1,0.6,0.5,0.7,9,3,6,3,3,4,4,4,82.15,71.38,100,0.67,0,78.79,100,100,100,90.579125,84.83165,81.946128,12.397306,0,92.508418,25.252525,26.882155,17.050505,8.08,0,0,1.01,0,0,98.32,98.99,98.99
3,6,90,80,-29,42,31,66,33,139,8,39,95,0.53,2.72,1.17,2.43,0.7,0.2,0.3,0.8,4,4,0,2,4,0,3,5,68.93,5.66,52.32,54.56,0,39.91,93.22,47.11,81.68,75.872642,18.488327,77.926127,70.173899,0,65.201791,70.069396,71.067477,82.070995,28.3,0.16,0.35,25.6,0,0,38.54,12.06,12.34
4,5,47,54,-21,31,75,88,89,114,100,117,31,0.48,1.5,2.16,1.04,0.7,0.3,0.6,0.8,5,7,9,5,2,4,3,4,93.01,38.8,94.89,62.54,0,65.05,100,76.16,100,77.072581,66.383513,75.476703,80.217742,0,77.572581,66.183692,84.271505,68.166667,39.96,17.2,18.28,23.57,0,0,52.96,22.4,18.19
5,7,44,63,-27,30,48,89,6,38,36,136,79,2.72,1.08,2.86,1.66,0,0.1,0.7,0.8,9,10,1,7,3,1,5,3,0.57,0,73.48,0,0,67.7,100,100,100,10.260263,6.167488,88.093596,0,0,84.206056,76.64532,78.07225,59.935961,0.74,0,0.25,0,0,0,36.95,35.47,32.76
6,3,37,59,-24,28,76,37,11,113,7,62,2,0.74,1.93,2.6,2.35,0.2,0.3,0.9,0.6,7,8,7,5,2,1,4,1,25,12.93,66.24,1.6,0,43.06,48.61,38.35,76.5,56.651709,39.941239,76.09188,14.246795,0,52.939103,84.03312,75.96688,79.907051,2.46,1.39,1.82,0.32,0,0,6.09,3.85,4.38
7,8,67,88,-33,55,40,32,80,14,36,21,53,1.97,2.28,1.08,2.94,0,0.2,0.7,0.8,2,2,8,5,4,5,5,3,13.95,7.01,95.38,0,0,68.85,97.3,88.79,100,65.071317,57.242555,80.902429,0,0,81.302508,83.280956,83.077194,64.166928,2.78,2.47,3.29,0,0,0,22.92,21.16,11.56
8,4,33,25,-23,94,86,12,70,80,80,145,77,1.95,2.38,0.5,1.21,0,0.2,0.6,0.3,5,9,10,8,1,2,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,15,64,33,55,56,57,46,108,67,68,46,0.55,1.88,1,1.49,0.3,0.9,0.9,0.3,10,9,6,7,3,3,2,3,76.43,62.14,58.47,14.29,0,5.48,84.05,58.57,71.69,,,,,,,,,,,,,,,,,,
10,8,67,88,-33,55,40,32,80,14,36,21,53,1.97,2.28,1.08,2.94,0,0.2,0.7,0.8,2,3,8,5,4,5,5,3,3.25,0,93.26,0,0,68.61,97.22,88.91,100,53.336599,45.287226,81.287618,0,0,81.294671,83.257445,83.03174,64.157132,2.31,2.19,2.9,0,0,0,22.92,21.16,11.56
11,8,15,64,33,55,56,57,46,108,67,68,46,0.55,1.88,1,1.49,0.3,0.9,0.9,0.3,10,9,6,7,3,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,33,25,-23,94,86,12,70,80,80,145,77,1.95,2.38,0.5,1.21,0,0.2,0.6,0.3,5,9,10,8,1,2,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,17,39,42,60,44,9,6,26,12,80,83,2.88,0.27,2.36,2.43,0.1,0.6,0.5,0.7,9,3,6,3,3,4,4,4,83.64,70.28,100,0.7,0,85.82,100,100,100,90.712727,84.902098,81.385455,12.926573,0,92.632727,25.91958,26.370629,16.951049,8.36,0,0,1.4,0,0,98.25,98.95,98.95
14,4,15,80,-29,42,31,66,25,139,121,39,107,0.53,2.72,1.17,2.43,0.7,0.9,0.3,0.8,4,7,0,2,4,0,4,1,100,81.34,99.81,25.79,0,14.91,100,99.81,100,76.477358,95.345912,93.2,30.687631,0,29.554717,74.628302,95.333962,95.429769,32.45,0,0.57,15.09,0,0,40.75,0,0
15,6,94,82,-42,39,41,23,73,2,7,67,93,0.84,0.5,0.03,0.27,0.7,0.1,0.6,0.8,8,5,2,9,3,2,1,5,48.21,6.57,71.86,23.21,0,63.74,76.49,46.42,93.07,70.644564,17.271207,78.424731,47.203704,0,78.210872,78.233274,68.876344,68.678017,20.55,3.85,9.62,6.21,0,5.23,25.21,10.9,15.8
16,8,67,88,-33,55,40,32,80,14,36,21,53,1.97,2.28,1.08,2.94,0,0.2,0.7,0.8,2,2,8,5,4,5,5,3,13.95,7.01,95.38,0,0,68.26,97.26,88.79,100,65.071708,57.24569,80.90047,0,0,81.291144,83.287618,83.058386,64.166536,2.78,2.47,3.29,0,0,0,22.92,21.16,11.56
17,5,47,54,-21,31,75,88,89,114,100,117,31,0.48,1.5,2.16,1.04,0.7,0.3,0.6,0.8,5,7,9,5,2,4,3,4,93.01,38.8,94.89,62.54,0,64.96,100,76.16,100,77.072581,66.383513,75.476703,80.217742,0,77.534946,66.183692,84.271505,68.166667,39.96,17.2,18.28,23.57,0,0,52.96,22.4,18.19
18,6,90,80,-29,42,31,66,33,139,8,39,95,0.53,2.72,1.17,2.43,0.7,0.2,0.3,0.8,4,4,0,2,4,0,3,5,68.93,5.56,52.32,54.72,0,40.07,93.51,47.07,81.68,75.871069,18.492805,77.931564,70.090566,0,65.258714,70.037096,71.331308,82.070995,28.3,0.16,0.35,25.6,0,0,38.54,12.06,12.34
19,4,17,82,-41,39,41,23,73,2,116,67,106,0.84,0.5,0.03,0.27,0.7,0.8,0.6,0.8,8,7,2,10,3,2,2,2,100,100,100,24.58,0,29.46,100,100,100,46.752525,62.616162,49.333333,29.116162,0,40.265993,58.979798,75.006734,65.542088,78.62,49.66,50.84,13.3,0,0,57.91,29.46,12.96
20,8,15,90,33,55,56,58,46,104,66,23,46,0.55,1.89,1,1.58,0.3,0.9,0.9,0.3,10,9,6,7,4,5,2,3,100,100,100,17.12,0,44.63,100,99.81,100,21.911667,30.78,20.2,28.772881,0,50.253704,68.928333,86.394444,64.694444,77,55.67,56.5,11.36,0,3.7,78.83,52.96,67.22
21,6,90,80,-29,42,31,64,33,139,8,39,95,0.53,2.72,1.17,2.43,0.7,0.2,0.3,0.8,4,4,0,2,4,0,3,5,68.77,5.66,52.67,54.28,0,40.07,93.22,46.95,81.52,76.097799,18.511673,77.969939,69.77327,0,65.067157,70.215542,70.866326,82.299009,28.3,0.16,0.35,25.6,0,0,38.47,12.06,12.34
22,4,17,82,-41,39,41,23,73,2,116,67,106,0.84,0.5,0.03,0.27,0.7,0.8,0.6,0.8,8,7,2,10,3,2,2,2,100,100,100,24.58,0,29.46,100,100,100,46.752525,62.616162,49.348485,29.109428,0,40.277778,58.979798,75.006734,65.548822,78.62,49.66,50.84,13.3,0,0,57.91,29.46,12.96
23,8,67,62,-33,55,40,31,80,22,37,66,53,1.97,2.27,1.08,2.82,0,0.2,0.7,0.8,2,3,8,5,3,3,5,3,32.71,30.71,100,0,0,100,84.26,72.12,100,62.570953,59.261641,72.466186,0,0,78.735033,84.64357,83.527162,58.716186,17.29,16.46,15.63,0,0,0,20.68,20.45,15.02
